year,city,country,region,num_tickets_sold,revenue_gained,stadium
2018,Seoul,South Korea,Asia,85366,8524155,Olympic Stadium
2018,Tokyo,Japan,Asia,95939,9276590,Tokyo Dome
2018,Osaka,Japan,Asia,109679,10601063,Kyocera Dome
2018,Nagoya,Taiwan,Asia,50144,8712748,International Baseball Stadium
2018,Los Angeles,United States,North America,56220,8847240,Staples Center
2018,Oakland,United States,North America,10743,1737750,Oracle Arena
2018,Fort Worth,United States,North America,17452,2908880,Convention Center
2018,Hamilton,Canada,North America,35574,4957155,FirstOntario Centre
2018,Newwark,Canada,North America,25236,4213120,Prudential Center
2018,Chicago,United States,North America,27880,4264960,United Center
2018,New York,United States,North America,34327,4754168,Citi Field
2018,London,England,Europe,31475,493140,O2 Arena
2018,Amsterdam,Netherlands,Europe,13893,2250970,Ziggo Dome
2018,Berlin,Germany,Europe,24384,4305329,Mercedes-Benz Arena
2018,Paris,France,Europe,28149,4579172,AccorHotels Arena
2019,Nagoya,Japan,Asia,79621,7692562,Nagoya Dome
2019,Singapore,Singapore,Asia,39946,7061854,National Stadium
2019,Fukuoka,Japan,Asia,72801,7035557,Yahuoku! Dome
2019,Hong Kong ,Hong Kong,Asia,46630,9025860,AsiaWorld Arena
2019,Bangkok,Thailand,Asia,68900,15070360,Rajamangala Stadium
2019,Osaka,Japan,Asia,101554,9832610,Yanmar Stadium
2019,Shizuoka,Japan,Asia,107153,10486317,Shizuoka Stadium
2019,Riyadh,Saudi Arabia,Asia,31899,4381560,King Fahd Stadium
2019,Seoul,South Korea,Asia,129268,12109026,Olympic Stadium
2019,London,England,Europe,129268,13545702,Wembley Stadium
2019,Paris,France,Europe,107328,13728598,Stade de France
2019,Sao Paulo,Brazil,Latin America,84728,7712318,Allianz Parque
2019,Pasadena,United States,North America,113040,16557515,Rose Bowl
2019,Chicago,United States,North America,88156,13345795,Soldier Field
2019,East Rutherford,United States,North America,98574,14050410,MetLife Stadium
