Country,SpotifyML,SpotifyMLevo%,Youtubeviews,Youtubeviewsevo %,Instagramfollowers,Instagramfollowersevo%
India,1481788,-0.25,16716453,-10.91,1712585,12.31
Indonesia,1245056,2.6,13983410,-2.77,13605453,-4.88
Mexico,768762,15.72,19827208,-4.59,1665007,-7.67
Japan,634043,-0.03,23914174,-5.25,2592629,11.8
Philippines,618769,0.79,8504141,-8.73,5113892,10.48
United States,614189,-0.15,17601990,-6.41,7397340,1.83
Australia,504635,1.21,0,0,0,0
Brazil,486918,1.97,21455222,-7.33,6041590,-2.09
Malaysia,438040,2.12,4830431,-3.6,2782942,-5.54
Thailand,407031,-1.72,6513716,-1.63,2473684,-11.25
Chile,315442,1.39,436358,234.49,927622,-10.1
Singapore,301040,0.88,0,0,0,0
Vietnam,242633,-0.92,0,0,1879108,12.72
Peru,230863,2.08,5243422,-0.44,0,0
United Kingdom,182067,-0.01,0,0,1117934,6.63
Taiwan,173208,1.81,0,0,1070356,10.93
Colombia,160650,0.57,3617573,126.33,761174,
Ireland,157161,3.4,0,0,0,0
Canada,144413,3.65,0,0,951411,
France,133272,3.86,124775,,1260668,4.83
Argentina,129628,3.02,6941532,-3.27,1117934,-15.89
Turkey,113419,0.11,0,0,0,0
Ukraine,0,0,0,0,951411,1.88
Italy,0,0,0,0,927622,-10.71
Kazakhstan,0,0,0,0,880044,11.99
China,0,0,0,0,1260668,20.24
Bangladesh,0,0,2104331,383.29,0,0
Russia,0,0,2234969,-63.14,2759153,4.88
South Korea,0,0,13791422,-11.7,3996033,-2.61
Myanmar (Burma),0,0,0,0,0,0
