Country,SpotifyML,SpotifyMLevo%,Youtubeviews,Youtubeviewsevo %,Instagramfollowers,Instagramfollowersevo%,Population
Argentina,129628,3.02,6941532,-3.27,1117934,-15.89,45696159
Australia,504635,1.21,0,0,0,0,26713205
Bangladesh,0,0,2104331,383.29,0,0,173562364
Brazil,486918,1.97,21455222,-7.33,6041590,-2.09,211998573
Canada,144413,3.65,0,0,951411,,39742430
Chile,315442,1.39,436358,234.49,927622,-10.1,19764771
China,0,0,0,0,1260668,20.24,1419321278
Colombia,160650,0.57,3617573,126.33,761174,,52886363
France,133272,3.86,124775,,1260668,4.83,66548530
India,1481788,-0.25,16716453,-10.91,1712585,12.31,1450935791
Indonesia,1245056,2.6,13983410,-2.77,13605453,-4.88,283487931
Ireland,157161,3.4,0,0,0,0,5255017
Italy,0,0,0,0,927622,-10.71,59342867
Japan,634043,-0.03,23914174,-5.25,2592629,11.8,123753041
Kazakhstan,0,0,0,0,880044,11.99,20592571
Malaysia,438040,2.12,4830431,-3.6,2782942,-5.54,35557673
Mexico,768762,15.72,19827208,-4.59,1665007,-7.67,130861007
Myanmar (Burma),0,0,0,0,0,0,54500091
Peru,230863,2.08,5243422,-0.44,0,0,34217848
Philippines,618769,0.79,8504141,-8.73,5113892,10.48,115843670
Russia,0,0,2234969,-63.14,2759153,4.88,144820423
Singapore,301040,0.88,0,0,0,0,5832387
South Korea,0,0,13791422,-11.7,3996033,-2.61,51717590
Taiwan,173208,1.81,0,0,1070356,10.93,23213962
Thailand,407031,-1.72,6513716,-1.63,2473684,-11.25,71668011
Turkey,113419,0.11,0,0,0,0,87473805
Ukraine,0,0,0,0,951411,1.88,37860221
United Kingdom,182067,-0.01,0,0,1117934,6.63,69138192
United States of America,614189,-0.15,17601990,-6.41,7397340,1.83,345426571
Vietnam,242633,-0.92,0,0,1879108,12.72,100987686
Andorra,,,,,,,81938
United Arab Emirates,,,,,,,11027129
Afghanistan,,,,,,,42647492
Antigua and Barbuda,,,,,,,93772
Anguilla,,,,,,,14598
Albania,,,,,,,2791765
Armenia,,,,,,,2973840
Netherlands Antilles,,,,,,,
Angola,,,,,,,37885849
Antarctica,,,,,,,
American Samoa,,,,,,,46765
Austria,,,,,,,9120813
Aruba,,,,,,,108066
Azerbaijan,,,,,,,10336577
Bosnia and Herzegovina,,,,,,,3164253
Barbados,,,,,,,282467
Belgium,,,,,,,11738763
Burkina Faso,,,,,,,23548781
Bulgaria,,,,,,,6757689
Bahrain,,,,,,,1607049
Burundi,,,,,,,14047786
Benin,,,,,,,14462724
Saint Barthelemy,,,,,,,11258
Bermuda,,,,,,,64636
Brunei,,,,,,,462721
Bolivia,,,,,,,12413315
Bahamas,,,,,,,401283
Bhutan,,,,,,,791524
Botswana,,,,,,,2521139
Belarus,,,,,,,9056696
Belize,,,,,,,417072
Cocos [Keeling] Islands,,,,,,,
Democratic Republic of the Congo,,,,,,,109276265
Central African Republic,,,,,,,5330690
Republic of the Congo,,,,,,,6332961
Switzerland,,,,,,,8921981
Ivory Coast,,,,,,,31934230
Cook Islands,,,,,,,13729
Cameroon,,,,,,,29123744
Colombia,,,,,,,52886363
Costa Rica,,,,,,,5129910
Cuba,,,,,,,10979783
Cape Verde,,,,,,,524877
Curacao,,,,,,,185482
Christmas Island,,,,,,,
Cyprus,,,,,,,1358282
Czech Republic,,,,,,,10735859
Germany,,,,,,,84552242
Djibouti,,,,,,,1168722
Denmark,,,,,,,5977412
Dominica,,,,,,,66205
Dominican Republic,,,,,,,11427557
Algeria,,,,,,,46814308
Ecuador,,,,,,,18135478
Estonia,,,,,,,1360546
Egypt,,,,,,,116538258
Western Sahara,,,,,,,590506
Eritrea,,,,,,,3535603
Spain,,,,,,,47910526
Ethiopia,,,,,,,132059767
Finland,,,,,,,5617310
Fiji,,,,,,,928784
Falkland Islands,,,,,,,3470
Micronesia,,,,,,,113160
Faroe Islands,,,,,,,55400
Gabon,,,,,,,2538952
Grenada,,,,,,,117207
Georgia,,,,,,,3807670
French Guiana,,,,,,,308522
Guernsey,,,,,,,64280
Ghana,,,,,,,34427414
Gibraltar,,,,,,,39329
Greenland,,,,,,,55840
Gambia,,,,,,,2759988
Guinea,,,,,,,14754785
Guadeloupe,,,,,,,375106
Equatorial Guinea,,,,,,,1892516
Greece,,,,,,,10047817
South Georgia and the South Sandwich Islands,,,,,,,
Guatemala,,,,,,,18406359
Guam,,,,,,,167777
Guinea-Bissau,,,,,,,2201352
Guyana,,,,,,,831087
Gaza Strip,,,,,,,
Hong Kong,,,,,,,7414909
Heard Island and McDonald Islands,,,,,,,
Honduras,,,,,,,10825703
Croatia,,,,,,,3875325
Haiti,,,,,,,11772557
Hungary,,,,,,,9676135
